stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
15530,31208,יוסף לישנסקי/דוד סחרוב,רחוב: יוסף לישנסקי 17 עיר: ראשון לציון רציף:  קומה: ,31.992394,34.766781,0,,31208
15578,31266,כביש 42/נטעים,רחוב: 42 עיר: ראשון לציון רציף:  קומה: ,31.944577,34.781611,0,,31266
15591,31283,דרך המכבים/שדרות הציונות,רחוב: דרך המכבים 39 עיר: ראשון לציון רציף:  קומה: ,31.980172,34.808865,0,,31283
15592,31285,לוי אשכול/ישראל גלילי,רחוב: לוי אשכול 34 עיר: ראשון לציון רציף:  קומה: ,31.971982,34.774777,0,,31285
15593,31290,קרית הלאום/ישראל גלילי,רחוב: ישראל גלילי 7 עיר: ראשון לציון רציף:  קומה: ,31.969901,34.781039,0,,31290
15606,31322,לוי אשכול/ישראל גלילי,רחוב: לוי אשכול עיר: ראשון לציון רציף:  קומה: ,31.971672,34.774825,0,,31322
15616,31332,הרצל/אהרון קרון,רחוב: הרצל 99 עיר: ראשון לציון רציף:  קומה: ,31.959982,34.802607,0,,31332
15623,31339,ירושלים/החוחית,רחוב: ירושלים 96 עיר: ראשון לציון רציף:  קומה: ,31.962228,34.81939,0,,31339
15625,31342,דרך המכבים/פיק''א,רחוב: דרך המכבים 4 עיר: ראשון לציון רציף:  קומה: ,31.973994,34.807102,0,,31342
15631,31349,הרצל/קרן היסוד,רחוב: הרצל 4 עיר: ראשון לציון רציף:  קומה: ,31.971924,34.806218,0,,31349
15645,31380,חונים קונים/לישנסקי,רחוב: יוסף לישנסקי 9 עיר: ראשון לציון רציף:  קומה: ,31.989986,34.765425,0,,31380
15683,31441,לוי אשכול/חסידי אומות העולם,רחוב: לוי אשכול 5 עיר: ראשון לציון רציף:  קומה: ,31.977009,34.777995,0,,31441
15686,31444,קניון הזהב/משה לוי,רחוב: משה לוי 18 עיר: ראשון לציון רציף:  קומה: ,31.989144,34.774216,0,,31444
15687,31446,חונים קונים/לישנסקי,רחוב: יוסף לישנסקי 8 עיר: ראשון לציון רציף:  קומה: ,31.989502,34.765391,0,,31446
15709,31474,ההסתדרות/התקומה,רחוב: ההסתדרות 12 עיר: ראשון לציון רציף:  קומה: ,31.967876,34.78082,0,,31474
15715,31483,רוטשילד/התקווה,רחוב: רוטשילד 59 עיר: ראשון לציון רציף:  קומה: ,31.963927,34.799386,0,,31483
15723,31499,מכון וולקני/דרך המכבים,רחוב: 412 עיר: ראשון לציון רציף:  קומה: ,31.992317,34.8132,0,,31499
15794,31579,דרך המכבים/אלי כהן,רחוב: אלי כהן עיר: ראשון לציון רציף:  קומה: ,31.983173,34.809821,0,,31579
15795,31580,דרך המכבים/בי''ס חקלאי,רחוב: דרך המכבים 11 עיר: ראשון לציון רציף:  קומה: ,31.975438,34.807295,0,,31580
15797,31583,דוד סחרוב/החומה,רחוב: דוד סחרוב 11 עיר: ראשון לציון רציף:  קומה: ,31.991525,34.77033,0,,31583
15798,31584,דוד סחרוב/אליעזר מזל,רחוב: דוד סחרוב 16 עיר: ראשון לציון רציף:  קומה: ,31.990906,34.771288,0,,31584
15799,31585,דוד סחרוב/אליעזר מזל,רחוב: דוד סחרוב 19 עיר: ראשון לציון רציף:  קומה: ,31.990447,34.77267,0,,31585
15800,31586,דוד סחרוב/אלחנן,רחוב: דוד סחרוב 6 עיר: ראשון לציון רציף:  קומה: ,31.992354,34.767996,0,,31586
15816,31610,משה דיין/גדולי ישראל,רחוב: שדרות משה דיין 5 עיר: ראשון לציון רציף:  קומה: ,31.980484,34.775576,0,,31610
15817,31611,ג'י סיטי/משה דיין ,רחוב: שדרות משה דיין 9 עיר: ראשון לציון רציף:  קומה: ,31.983342,34.769206,0,,31611
15844,31657,מתחם שבעת הכוכבים,רחוב: יוסף לישנסקי 5 עיר: ראשון לציון רציף:  קומה: ,31.98807,34.764321,0,,31657
15858,31682,הרצל/אוסישקין,רחוב: הרצל עיר: ראשון לציון רציף:  קומה: ,31.968741,34.80397,0,,31682
15859,31683,משה לוי/נפתלי פלטין,רחוב: משה לוי 12 עיר: ראשון לציון רציף:  קומה: ,31.987503,34.773181,0,,31683
15860,31685,רוז'נסקי/משה לוי,רחוב: רוז'נסקי 11 עיר: ראשון לציון רציף:  קומה: ,31.986113,34.772754,0,,31685
15861,31686,רוטשילד/ז'בוטינסקי,רחוב: רוטשילד 58 עיר: ראשון לציון רציף:  קומה: ,31.963913,34.800385,0,,31686
15863,31688,רוטשילד/דב הוז,רחוב: רוטשילד 100 עיר: ראשון לציון רציף:  קומה: ,31.964526,34.793727,0,,31688
15865,31690,רוטשילד/בן גוריון,רחוב: רוטשילד 124 עיר: ראשון לציון רציף:  קומה: ,31.964894,34.790532,0,,31690
15866,31691,רוטשילד/שפרינצק,רחוב: רוטשילד 129 עיר: ראשון לציון רציף:  קומה: ,31.96475,34.790336,0,,31691
15869,31696,רוטשילד/השדה,רחוב: רוטשילד 101 עיר: ראשון לציון רציף:  קומה: ,31.964349,34.794441,0,,31696
15872,31724,מתחם שבעת הכוכבים,רחוב: יוסף לישנסקי עיר: ראשון לציון רציף:  קומה: ,31.987946,34.764501,0,,31724
15886,31751,ההסתדרות/גולדה מאיר,רחוב: ההסתדרות 8 עיר: ראשון לציון רציף:  קומה: ,31.966975,34.783226,0,,31751
15887,31753,הרצל/רוטשילד,רחוב: הרצל 68 עיר: ראשון לציון רציף:  קומה: ,31.964839,34.802785,0,,31753
15903,31826,דוד סחרוב/משה לוי,רחוב: דוד סחרוב 26 עיר: ראשון לציון רציף:  קומה: ,31.989695,34.773893,0,,31826
16034,32060,ישראל גלילי/התקומה,רחוב: ישראל גלילי 16 עיר: ראשון לציון רציף:  קומה: ,31.970255,34.780624,0,,32060
16036,32062,לוי אשכול/הדגן,רחוב: לוי אשכול 15 עיר: ראשון לציון רציף:  קומה: ,31.975475,34.777099,0,,32062
16186,32250,ת. רכבת ראשונים,רחוב: הרצל עיר: ראשון לציון רציף:  קומה: ,31.948274,34.801453,0,,32250
16200,32264,צומת בית דגן/כביש 44,רחוב: יציאה לכביש 412 עיר: ראשון לציון רציף:  קומה: ,32.00267,34.819925,0,,32264
16309,32382,כביש 4311/המדע,רחוב: 4311 עיר: ראשון לציון רציף:  קומה: ,31.95142,34.776575,0,,32382
16689,32779,קניון אם מושבות,רחוב: ראשון לציון עיר: פתח תקווה רציף:  קומה: ,32.098998,34.876335,0,,32779
16699,32789,הבנים/האפרסמון,רחוב: הבנים 10 עיר: ראשון לציון רציף:  קומה: ,31.975379,34.804064,0,,32789
16701,32794,קופת חולים/המושבה,רחוב: המושבה 6 עיר: ראשון לציון רציף:  קומה: ,31.97767,34.803857,0,,32794
16702,32795,המושבה/העצמאות,רחוב: המושבה 24 עיר: ראשון לציון רציף:  קומה: ,31.978396,34.801306,0,,32795
16705,32798,הרב צאלח/קיבוץ גלויות,רחוב: הרב צאלח 1 עיר: ראשון לציון רציף:  קומה: ,31.984964,34.804035,0,,32798
16707,32802,העצמאות/כל ישראל חברים,רחוב: העצמאות עיר: ראשון לציון רציף:  קומה: ,31.980389,34.801244,0,,32802
16751,32869,זלמן שניאור/שלמה נתן,רחוב: שדרות זלמן שניאור 8 עיר: ראשון לציון רציף:  קומה: ,31.98299,34.786518,0,,32869
16752,32870,זלמן שניאור/פוזננסקי,רחוב: שדרות זלמן שניאור 7 עיר: ראשון לציון רציף:  קומה: ,31.98344,34.786461,0,,32870
16754,32872,מרכז רמת אליהו/זלמן שניאור,רחוב: שדרות זלמן שניאור עיר: ראשון לציון רציף:  קומה: ,31.985606,34.787214,0,,32872
16759,32877,נחמיה/עובדיה,רחוב: נחמיה 92 עיר: ראשון לציון רציף:  קומה: ,31.94854,34.822109,0,,32877
16760,32878,נחמיה/שדרות יעקב,רחוב: נחמיה עיר: ראשון לציון רציף:  קומה: ,31.949352,34.818734,0,,32878
16761,32879,נחמיה/גדעון,רחוב: נחמיה 52 עיר: ראשון לציון רציף:  קומה: ,31.950088,34.815667,0,,32879
16768,32886,מורדי הגטאות/האתרוג,רחוב: מורדי הגטאות 97 עיר: ראשון לציון רציף:  קומה: ,31.953071,34.828083,0,,32886
16770,32888,יחזקאל הנביא/צפניה הנביא,רחוב: יחזקאל הנביא 1 עיר: ראשון לציון רציף:  קומה: ,31.952304,34.814658,0,,32888
16774,32892,נחמיה/יחזקאל הנביא,רחוב: נחמיה 4 עיר: ראשון לציון רציף:  קומה: ,31.953668,34.815715,0,,32892
16776,32894,מורדי הגטאות/האורן,רחוב: מורדי הגטאות 71 עיר: ראשון לציון רציף:  קומה: ,31.953981,34.824665,0,,32894
16796,32919,מגדלי העיר/שדרות יעקב,רחוב: שדרות יעקב עיר: ראשון לציון רציף:  קומה: ,31.954428,34.82152,0,,32919
16797,32920,שדרות יעקב/הרקפת,רחוב: שדרות יעקב 41 עיר: ראשון לציון רציף:  קומה: ,31.955249,34.82227,0,,32920
16798,32921,שדרות יעקב/החצב,רחוב: שדרות יעקב 23 עיר: ראשון לציון רציף:  קומה: ,31.957731,34.823224,0,,32921
16799,32922,שדרות יעקב/הכלנית,רחוב: שדרות יעקב 28 עיר: ראשון לציון רציף:  קומה: ,31.95711,34.822792,0,,32922
16800,32923,ירושלים/נוה זאב,רחוב: ירושלים 95 עיר: ראשון לציון רציף:  קומה: ,31.960943,34.823643,0,,32923
16801,32924,ירושלים/שדרות יעקב,רחוב: ירושלים עיר: ראשון לציון רציף:  קומה: ,31.960925,34.823186,0,,32924
16802,32925,רמז/הגליל,רחוב: רמז 22 עיר: ראשון לציון רציף:  קומה: ,31.962195,34.792339,0,,32925
16803,32926,רמז/עולי הגרדום,רחוב: רמז 15 עיר: ראשון לציון רציף:  קומה: ,31.962872,34.792664,0,,32926
16805,32928,יהודה הלוי/הגדוד העברי,רחוב: יהודה הלוי 39 עיר: ראשון לציון רציף:  קומה: ,31.967118,34.811204,0,,32928
16807,32930,פינסקר/חבד,רחוב: יהודה לייב פינסקר 32 עיר: ראשון לציון רציף:  קומה: ,31.968109,34.807347,0,,32930
16809,32932,כצנלסון/פרופ' נחום,רחוב: כצנלסון 19 עיר: ראשון לציון רציף:  קומה: ,31.967113,34.798252,0,,32932
16811,32934,אנילביץ'/שלום אש,רחוב: אנילביץ' 6 עיר: ראשון לציון רציף:  קומה: ,31.981558,34.789417,0,,32934
16813,32936,אנילביץ/הרב משה איבגי,רחוב: אנילביץ' 20 עיר: ראשון לציון רציף:  קומה: ,31.984415,34.790012,0,,32936
16814,32937,חנה סנש/זלמן שניאור,רחוב: חנה סנש 8 עיר: ראשון לציון רציף:  קומה: ,31.987687,34.787934,0,,32937
16815,32938,שאול המלך/מלכי ישראל,רחוב: שאול המלך 4 עיר: ראשון לציון רציף:  קומה: ,31.978708,34.789148,0,,32938
16816,32939,נחמיה/מלאכי,רחוב: נחמיה 110 עיר: ראשון לציון רציף:  קומה: ,31.947826,34.824966,0,,32939
16821,32944,נחמיה/מרבד הקסמים,רחוב: נחמיה 122 עיר: ראשון לציון רציף:  קומה: ,31.948593,34.826656,0,,32944
16823,32946,המייסדים/הברושים,רחוב: המייסדים 4 עיר: ראשון לציון רציף:  קומה: ,31.973658,34.80629,0,,32946
16824,32947,דרך המכבים/שדרות הציונות,רחוב: דרך המכבים עיר: ראשון לציון רציף:  קומה: ,31.981526,34.809642,0,,32947
21318,33115,מסעף משמר השבעה,רחוב: דרך השבעה 9 עיר: ראשון לציון רציף:  קומה: ,32.006425,34.81701,0,,33115
21319,33116,טריגוסין/דרום,רחוב: 44 עיר: ראשון לציון רציף:  קומה: ,31.987429,34.830751,0,,33116
21320,33117,צומת חב''ד,רחוב: 44 עיר: ראשון לציון רציף:  קומה: ,31.978425,34.836919,0,,33117
21321,33118,כביש 44/דרך חיים הרצוג,רחוב: 44 עיר: ראשון לציון רציף:  קומה: ,31.973523,34.840538,0,,33118
21327,33125,בן גוריון/ההסתדרות,רחוב: שדרות בן גוריון עיר: ראשון לציון רציף:  קומה: ,31.965969,34.78958,0,,33125
21328,33126,שד. בגין/פולה בן גוריון,רחוב: שדרות בגין עיר: ראשון לציון רציף:  קומה: ,31.972185,34.792254,0,,33126
21329,33127,שד. בגין/השחר,רחוב: שדרות בגין עיר: ראשון לציון רציף:  קומה: ,31.971283,34.796517,0,,33127
21330,33128,ז'בוטינסקי/שדרות בגין,רחוב: ז'בוטינסקי 91 עיר: ראשון לציון רציף:  קומה: ,31.970668,34.798466,0,,33128
21331,33129,זבוטינסקי/קרית ספר,רחוב: ז'בוטינסקי 61 עיר: ראשון לציון רציף:  קומה: ,31.966558,34.799459,0,,33129
21473,33285,טריגוסין/כביש 44,רחוב: 44 עיר: ראשון לציון רציף:  קומה: ,31.988533,34.830286,0,,33285
21474,33286,מסעף משמר השבעה,רחוב: 44 עיר: ראשון לציון רציף:  קומה: ,32.00582,34.817845,0,,33286
21507,33326,הרצל/סוקולוב,רחוב: הרצל 115 עיר: ראשון לציון רציף:  קומה: ,31.957388,34.802287,0,,33326
21509,33331,שדרות בגין/יוהנה ז'בוטינסקי,רחוב: שדרות בגין עיר: ראשון לציון רציף:  קומה: ,31.971789,34.793755,0,,33331
21510,33332,שד. בן גוריון/המעיין,רחוב: שדרות בן גוריון 39 עיר: ראשון לציון רציף:  קומה: ,31.969877,34.790197,0,,33332
21511,33333,שדרות בן גוריון/ שדרות בגין,רחוב: שדרות בן גוריון עיר: ראשון לציון רציף:  קומה: ,31.972018,34.791145,0,,33333
21512,33334,בן גוריון/כצנלסון,רחוב: שדרות בן גוריון 6 עיר: ראשון לציון רציף:  קומה: ,31.966323,34.789799,0,,33334
21590,33433,שדרות בגין/ז'בוטינסקי,רחוב: שדרות בגין 4 עיר: ראשון לציון רציף:  קומה: ,31.971391,34.797557,0,,33433
21594,33439,צומת חב''ד,רחוב: 44 עיר: ראשון לציון רציף:  קומה: ,31.979433,34.83654,0,,33439
21595,33440,צומת בית דגן,רחוב: דרך השבעה עיר: ראשון לציון רציף:  קומה: ,32.002455,34.820515,0,,33440
21637,33489,קניון אסף/44,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.968812,34.842185,0,,33489
21639,33491,צריפין/בסיס אספקה,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.959154,34.836271,0,,33491
21644,33496,מחנה צריפין/בהד 11,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.959136,34.833376,0,,33496
21650,33502,מחנה צריפין,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.960555,34.835492,0,,33502
21651,33503,מחנה צריפין/משטרה צבאית,רחוב: ירושלים 134 עיר: ראשון לציון רציף:  קומה: ,31.959577,34.831812,0,,33503
21652,33504,ירושלים/שלמה לוי,רחוב: ירושלים 115 עיר: ראשון לציון רציף:  קומה: ,31.960016,34.827773,0,,33504
21655,33508,בסיס מזון,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.95968,34.840204,0,,33508
21656,33509,צריפין/בסיס מזון,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.961506,34.838388,0,,33509
21657,33510,מחנה מצל''ח 6800,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.963589,34.836279,0,,33510
21658,33512,ת. מרכזית ראשל''צ/רציפים,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.96779,34.785633,1,,33512
21659,33513,ת. מרכזית רשל''צ/הורדה,רחוב:   עיר: ראשון לציון רציף:  קומה: ,31.968352,34.78533,0,,33513
21676,33584,יגאל אלון/ראם,רחוב: יגאל אלון עיר: ראשון לציון רציף:  קומה: ,31.954575,34.815187,0,,33584
21678,33587,ירושלים/שרה ואליהו,רחוב: ירושלים 21 עיר: ראשון לציון רציף:  קומה: ,31.962236,34.810559,0,,33587
21679,33588,אחד העם/הרב שלום סיבהי,רחוב: אחד העם 17 עיר: ראשון לציון רציף:  קומה: ,31.962714,34.807644,0,,33588
21680,33589,פינסקר/הרב קוק,רחוב: יהודה לייב פינסקר 10 עיר: ראשון לציון רציף:  קומה: ,31.96551,34.807471,0,,33589
21681,33590,פינסקר/רוטשילד,רחוב: יהודה לייב פינסקר 7 עיר: ראשון לציון רציף:  קומה: ,31.965576,34.807358,0,,33590
21682,33591,אחד העם/איתמר בן אב''י,רחוב: אחד העם 6 עיר: ראשון לציון רציף:  קומה: ,31.963775,34.807541,0,,33591
21683,33592,ירושלים/ביל''ו,רחוב: ירושלים 14 עיר: ראשון לציון רציף:  קומה: ,31.961937,34.809041,0,,33592
21685,33594,ירושלים/דוד הראובני,רחוב: ירושלים 44 עיר: ראשון לציון רציף:  קומה: ,31.962321,34.813138,0,,33594
21686,33595,ירושלים/השומר,רחוב: ירושלים 70 עיר: ראשון לציון רציף:  קומה: ,31.962561,34.816165,0,,33595
21688,33597,יגאל אלון/מישור הנוף,רחוב: יגאל אלון 52 עיר: ראשון לציון רציף:  קומה: ,31.950888,34.811951,0,,33597
21799,33737,צומת בית דגן,רחוב: 44 15 עיר: ראשון לציון רציף:  קומה: ,32.000365,34.821606,0,,33737
21864,33815,אלי כהן/המוכתר,רחוב: אלי כהן 14 עיר: ראשון לציון רציף:  קומה: ,31.985812,34.807047,0,,33815
21887,33838,אנילביץ/החלוץ,רחוב: אנילביץ' 41 עיר: ראשון לציון רציף:  קומה: ,31.985965,34.789627,0,,33838
21921,33872,שדרות היובל/האורנים,רחוב: שדרות היובל עיר: ראשון לציון רציף:  קומה: ,31.976743,34.79642,0,,33872
22116,34081,משרד החקלאות/דרך המכבים,רחוב: 412 עיר: ראשון לציון רציף:  קומה: ,31.996519,34.817626,0,,34081
22307,34278,גיבורי ישראל/השניים,רחוב: גיבורי ישראל 6 עיר: ראשון לציון רציף:  קומה: ,31.985634,34.808744,0,,34278
22309,34280,מכון וולקני/דרך המכבים,רחוב: 412 עיר: ראשון לציון רציף:  קומה: ,31.99368,34.814509,0,,34280
22338,34309,ירושלים/הגדוד העברי,רחוב: ירושלים 34 עיר: ראשון לציון רציף:  קומה: ,31.962129,34.811172,0,,34309
22339,34310,ירושלים/דוד הראובני,רחוב: ירושלים עיר: ראשון לציון רציף:  קומה: ,31.962595,34.814639,0,,34310
22340,34311,רוטשילד/וייצברד,רחוב: רוטשילד 4 עיר: ראשון לציון רציף:  קומה: ,31.96437,34.806394,0,,34311
22342,34313,רמז/הר ציון,רחוב: רמז 38 עיר: ראשון לציון רציף:  קומה: ,31.960073,34.791681,0,,34313
22343,34314,כצנלסון/קפלן אליעזר,רחוב: כצנלסון 43 עיר: ראשון לציון רציף:  קומה: ,31.967458,34.79487,0,,34314
22345,34316,יהודה הלוי/קידוש השם,רחוב: יהודה הלוי 51 עיר: ראשון לציון רציף:  קומה: ,31.967324,34.813064,0,,34316
22346,34317,גבעתי/יהודה הלוי,רחוב: גבעתי עיר: ראשון לציון רציף:  קומה: ,31.968628,34.816534,0,,34317
22347,34318,מרגולין/ברנדייס,רחוב: מרגולין 15 עיר: ראשון לציון רציף:  קומה: ,31.969303,34.80832,0,,34318
22354,34325,הרב צאלח/האגס,רחוב: הרב צאלח 4 עיר: ראשון לציון רציף:  קומה: ,31.986001,34.805007,0,,34325
22356,34327,שדרות רחבעם זאבי/יוסף ספיר,רחוב: שדרות רחבעם זאבי 6 עיר: ראשון לציון רציף:  קומה: ,31.991111,34.749186,0,,34327
22357,34328,בית ספר לכבאות/רחבעם זאבי,רחוב: שדרות רחבעם זאבי 10 עיר: ראשון לציון רציף:  קומה: ,31.992489,34.746673,0,,34328
22359,34330,חנה סנש/מרדכי אנילביץ,רחוב: חנה סנש 9 עיר: ראשון לציון רציף:  קומה: ,31.987599,34.78818,0,,34330
22360,34331,הרב יוסף עזרן/דוד המלך,רחוב: הרב יוסף עזרן 4 עיר: ראשון לציון רציף:  קומה: ,31.979253,34.785012,0,,34331
22361,34332,שאול המלך/מלכי ישראל,רחוב: שאול המלך עיר: ראשון לציון רציף:  קומה: ,31.979179,34.789088,0,,34332
22372,34343,יוסף ספיר/שמעון ישראלי,רחוב: יוסף ספיר 4 עיר: ראשון לציון רציף:  קומה: ,31.99145,34.750377,0,,34343
22373,34344,יוסף ספיר/השר חיים שפירא,רחוב: יוסף ספיר 8 עיר: ראשון לציון רציף:  קומה: ,31.993298,34.751645,0,,34344
22374,34345,משה שרת/גלוסקא,רחוב: משה שרת 11 עיר: ראשון לציון רציף:  קומה: ,31.994291,34.753068,0,,34345
22376,34347,כצנלסון/לילינבלום,רחוב: כצנלסון 10 עיר: ראשון לציון רציף:  קומה: ,31.967249,34.797815,0,,34347
22377,34348,כצנלסון/קפלן אליעזר,רחוב: כצנלסון 24 עיר: ראשון לציון רציף:  קומה: ,31.967515,34.795229,0,,34348
22380,34351,שער ראשון/ירושלים,רחוב: ירושלים 116 עיר: ראשון לציון רציף:  קומה: ,31.959704,34.82841,0,,34351
22418,34389,מרכז קדמת ראשון/פופל,רחוב: מרדכי פופל 14 עיר: ראשון לציון רציף:  קומה: ,31.969951,34.815448,0,,34389
22444,34416,כורש/זלמן שזר,רחוב: כורש 6 עיר: ראשון לציון רציף:  קומה: ,31.995133,34.742842,0,,34416
22450,34422,גן דודזון/סגל,רחוב: מרדכי יואל סגל 5 עיר: ראשון לציון רציף:  קומה: ,31.971653,34.814073,0,,34422
22458,34430,בן גוריון/מנחם בגין,רחוב: שדרות בן גוריון 44 עיר: ראשון לציון רציף:  קומה: ,31.970975,34.790924,0,,34430
22462,34434,גבעתי/האחים סולימאן,רחוב: גבעתי 22 עיר: ראשון לציון רציף:  קומה: ,31.964122,34.817071,0,,34434
22463,34435,עזרא/שדרות יעקב,רחוב: עזרא 25 עיר: ראשון לציון רציף:  קומה: ,31.952632,34.820059,0,,34435
22470,34443,קופת חולים/פינסקר,רחוב: יהודה לייב פינסקר 29 עיר: ראשון לציון רציף:  קומה: ,31.968047,34.807239,0,,34443
22472,34445,אריה בן אליעזר/הורוביץ,רחוב: אריה בן אליעזר 17 עיר: ראשון לציון רציף:  קומה: ,31.959837,34.795095,0,,34445
22493,34466,גולדה מאיר/החרצית,רחוב: גולדה מאיר 22 עיר: ראשון לציון רציף:  קומה: ,31.972742,34.786935,0,,34466
22494,34467,גולדה מאיר/הסחלב,רחוב: גולדה מאיר 28 עיר: ראשון לציון רציף:  קומה: ,31.970922,34.786011,0,,34467
22507,34481,הקישון/רמז,רחוב: הקישון 7 עיר: ראשון לציון רציף:  קומה: ,31.960505,34.792916,0,,34481
22589,34564,הקישון/רמז,רחוב: הקישון 6 עיר: ראשון לציון רציף:  קומה: ,31.96046,34.79251,0,,34564
22591,34566,אריה בן אליעזר/נחל שורק,רחוב: אריה בן אליעזר 20 עיר: ראשון לציון רציף:  קומה: ,31.959834,34.794987,0,,34566
22592,34567,יואל דרובין/שלמה קפלנסקי,רחוב: יואל דרובין 27 עיר: ראשון לציון רציף:  קומה: ,31.957363,34.799376,0,,34567
22604,34579,גרינשפן/ברנשטיין,רחוב: גרינשפן 5 עיר: ראשון לציון רציף:  קומה: ,31.957041,34.814821,0,,34579
22613,34589,מורדי הגטאות/זאב,רחוב: מורדי הגטאות 36 עיר: ראשון לציון רציף:  קומה: ,31.955375,34.819032,0,,34589
22614,34590,הרקפת/פטריה,רחוב: הרקפת 105 עיר: ראשון לציון רציף:  קומה: ,31.950624,34.830783,0,,34590
22661,34637,רוטשילד/הרב זינגר,רחוב: רוטשילד 7 עיר: ראשון לציון רציף:  קומה: ,31.964163,34.805928,0,,34637
22672,34648,גולדה מאיר/ישראל גלילי,רחוב: גולדה מאיר עיר: ראשון לציון רציף:  קומה: ,31.969147,34.78534,0,,34648
